Ticker,Event_ID,Ticker_BB,Company_Name,Fiscal_Year,Fiscal_Quarter,Fiscal_Quarter_BB,Mgmt_Guidance_Date,Earnings_Announcement_Date,Announcement_Time,Mgmt_Guidance_EPS,Mgmt_Guidance_Type,Guidance_Range_Low,Guidance_Range_High,Analyst_Consensus_EPS,Num_Analysts,Disagreement_Gap,Disagreement_Pct,Actual_EPS,Surprise_EPS,Surprise_Pct,EPS_Beat_Miss,CAR_0_1,CAR_2_60,BHAR_2_60,Market_Cap,Sector,Std_Actual_EPS,Std_Guidance_EPS,Std_Consensus_EPS,Std_Disagreement_Gap,Std_Disagreement_Pct,Std_Surprise_EPS,Std_Surprise_Pct
CF US,CF US|45511,CF US Equity,CF Industries Holdings Inc,2024,Q2 24 ,2024Q2,,2024-08-07,22:30,2.3,,,,1.831,,0.46899999999999986,0.25614418350628065,2.3,0.46899999999999986,0.25614418350628065,Beat,0.068282,-0.05378800000000001,-0.06152994216870278,13416.2116,Materials,0.031335149863760216,0.031335149863760216,0.024945504087193458,0.006389645776566758,0.25614418350628076,0.006389645776566758,0.25614418350628076
MNST US,MNST US|45511,MNST US Equity,Monster Beverage Corp,2024,Q2 24 ,2024Q2,,2024-08-07,22:15,0.41,,,,0.457,,-0.04700000000000004,-0.10284463894967186,0.41,-0.04700000000000004,-0.10284463894967186,Miss,-0.130005,0.06734700000000006,0.07249493117048389,52919.794,Consumer Staples,0.008070866141732283,0.008070866141732283,0.008996062992125985,-0.0009251968503937013,-0.10284463894967183,-0.0009251968503937013,-0.10284463894967183
EQIX US,EQIX US|45511,EQIX US Equity,Equinix Inc,2024,Q2 24 ,2024Q2,,2024-08-07,22:05,3.17,,,,6.115,,-2.9450000000000003,-0.4816026165167621,6.27,0.15499999999999936,0.025347506132461055,Beat,0.016554,0.031877,0.034040081846603565,74463.988,Real Estate,0.007991231312371751,0.004040223805457488,0.007793680937026038,-0.0037534571315685503,-0.4816026165167621,0.00019755037534571317,0.025347506132461162
WBD US,WBD US|45511,WBD US Equity,Warner Bros Discovery Inc,2024,Q2 24 ,2024Q2,,2024-08-07,22:02,-4.07,,,,-0.204,,-3.866,-18.950980392156865,-4.07,-3.866,-18.950980392156865,Miss,-0.086349,0.03550600000000002,0.010571371206410385,18548.8724,Communication Services,-0.5376486129458389,-0.5376486129458389,-0.026948480845442532,-0.5107001321003963,-18.95098039215687,-0.5107001321003963,-18.95098039215687
IDXX US,IDXX US|45510,IDXX US Equity,IDEXX Laboratories Inc,2024,Q2 24 ,2024Q2,,2024-08-06,12:30,2.46,,,,2.875,,-0.41500000000000004,-0.14434782608695654,2.44,-0.43500000000000005,-0.15130434782608698,Miss,0.023834,-0.156728,-0.16644053842520157,37583.8412,Health Care,0.005361694647095017,0.005405642963874484,0.0063175705370484316,-0.0009119275731739474,-0.1443478260869565,-0.0009558758899534149,-0.15130434782608695
OKE US,OKE US|45509,OKE US Equity,ONEOK Inc,2024,Q2 24 ,2024Q2,,2024-08-05,22:15,1.33,,,,1.208,,0.12200000000000011,0.10099337748344381,1.33,0.12200000000000011,0.10099337748344381,Beat,0.047286,0.04874699999999997,0.05164387861183983,46790.9727,Energy,0.01658974678807534,0.01658974678807534,0.015067980541349632,0.0015217662467257084,0.10099337748344374,0.0015217662467257084,0.10099337748344374
LYB US,LYB US|45506,LYB US Equity,LyondellBasell Industries NV,2024,Q2 24 ,2024Q2,,2024-08-02,12:30,2.82,,,,2.22,,0.5999999999999996,0.27027027027027006,2.24,0.020000000000000018,0.009009009009009016,Beat,-0.009304000000000002,-0.156902,-0.16506815798456775,31956.5686,Materials,0.02282453637660485,0.028734460974118605,0.02262074587324231,0.006113715100876296,0.27027027027027006,0.00020379050336254145,0.009009009009008926
MSI US,MSI US|45505,MSI US Equity,Motorola Solutions Inc,2024,Q2 24 ,2024Q2,,2024-08-01,22:10,2.65,,,,3.009,,-0.359,-0.11930874044533067,3.24,0.23100000000000032,0.07676969092721846,Beat,0.060574,0.041762000000000014,0.04671198427596712,66534.702,Information Technology,0.008121929208863933,0.006642935927002908,0.007542865737491225,-0.0008999298104883178,-0.1193087404453306,0.0005790634713727077,0.07676969092721854
GWW US,GWW US|45505,GWW US Equity,WW Grainger Inc,2024,Q2 24 ,2024Q2,,2024-08-01,14:00,9.54,,,,9.587,,-0.0470000000000006,-0.004902472097632273,9.76,0.17300000000000004,0.018045269635965373,Beat,0.007821999999999996,0.04575399999999999,0.04820772674178997,47930.8994,Industrials,0.009991707701600107,0.009766484782096825,0.009814600587627072,-4.811580553024629e-05,-0.004902472097632197,0.00017710711397303514,0.01804526963596542
ETR US,ETR US|45505,ETR US Equity,Entergy Corp,2024,Q2 24 ,2024Q2,,2024-08-01,12:30,0.115,,,,0.881,,-0.766,-0.8694665153234961,0.96,0.07899999999999996,0.0896708286038592,Beat,0.07367699999999999,0.05279399999999999,0.05892226316353599,24733.3186,Utilities,0.01655600586358541,0.0019832715357420024,0.015193584547727861,-0.013210313011985858,-0.869466515323496,0.0013624213158575493,0.08967082860385925
