Model,Dep_Var,Variable,Coefficient,Std_Error,t_stat,p_value,Significance,R_Squared,Adj_R_Squared,Observations
Model 1: Asymmetry (No Beat Dummy),CAR_0_1,Sector_Industrials,-0.013991682316802265,0.006473810422187373,-2.16127464419552,0.030674130368380327,**,0.028512208700205766,0.014704260397467528,1000
Model 1: Asymmetry (No Beat Dummy),CAR_0_1,Sector_Information Technology,-0.009721062519363307,0.0073894271457318585,-1.3155366887916613,0.18832959535199867,,0.028512208700205766,0.014704260397467528,1000
Model 1: Asymmetry (No Beat Dummy),CAR_0_1,Sector_Materials,-0.018731966331169456,0.0061396670268653915,-3.0509743035255554,0.0022810009532843794,***,0.028512208700205766,0.014704260397467528,1000
Model 1: Asymmetry (No Beat Dummy),CAR_0_1,Sector_Real Estate,0.013018490815979528,0.007343809137438402,1.7727163890482744,0.07627571398623562,*,0.028512208700205766,0.014704260397467528,1000
Model 1: Asymmetry (No Beat Dummy),CAR_0_1,Sector_Utilities,-0.002946704688856241,0.005921527277645686,-0.4976257898836883,0.6187478226674585,,0.028512208700205766,0.014704260397467528,1000
Model 2: Asymmetry (With Beat Dummy),CAR_0_1,const,-0.0005401780040257802,0.006831274672771802,-0.07907426211082244,0.9369735552559183,,0.05417679415476895,0.039758757480299,1000
Model 2: Asymmetry (With Beat Dummy),CAR_0_1,Std_Disagreement_Gap_Win,-0.1175858777842329,0.6953148065990779,-0.16911171266346056,0.8657087722491659,,0.05417679415476895,0.039758757480299,1000
Model 2: Asymmetry (With Beat Dummy),CAR_0_1,Negative_Gap_Dummy,-0.01058808216181899,0.004944620344933292,-2.1413336966645984,0.032247137602292926,**,0.05417679415476895,0.039758757480299,1000
Model 2: Asymmetry (With Beat Dummy),CAR_0_1,Int_Gap_Neg,0.24897271432321771,0.740505445342611,0.3362199642002971,0.7367049991027685,,0.05417679415476895,0.039758757480299,1000
Model 2: Asymmetry (With Beat Dummy),CAR_0_1,Beat_Dummy,0.028018342745754654,0.004856058258432325,5.769770718277951,7.937946085323734e-09,***,0.05417679415476895,0.039758757480299,1000
Model 2: Asymmetry (With Beat Dummy),CAR_0_1,Std_Log_Market_Cap,-0.0017177407808914359,0.0020934107118376903,-0.8205464752702663,0.41190464633457446,,0.05417679415476895,0.039758757480299,1000
Model 2: Asymmetry (With Beat Dummy),CAR_0_1,Sector_Consumer Discretionary,-0.022477708636861247,0.007552866089215595,-2.9760502001956817,0.002919870615503087,***,0.05417679415476895,0.039758757480299,1000
Model 2: Asymmetry (With Beat Dummy),CAR_0_1,Sector_Consumer Staples,-0.014824134574032656,0.007599087663299585,-1.9507782027080731,0.051083435870261124,*,0.05417679415476895,0.039758757480299,1000
Model 2: Asymmetry (With Beat Dummy),CAR_0_1,Sector_Energy,-0.015815856655957212,0.0060313101626212,-2.622292044268481,0.008734055193876674,***,0.05417679415476895,0.039758757480299,1000
Model 2: Asymmetry (With Beat Dummy),CAR_0_1,Sector_Financials,-0.014524883877984906,0.005547403964374374,-2.618320924754034,0.008836365743586495,***,0.05417679415476895,0.039758757480299,1000
Model 2: Asymmetry (With Beat Dummy),CAR_0_1,Sector_Health Care,-0.018724783375089836,0.008391396968001086,-2.231426238860234,0.025652908403944675,**,0.05417679415476895,0.039758757480299,1000
Model 2: Asymmetry (With Beat Dummy),CAR_0_1,Sector_Industrials,-0.01426655523901749,0.007072771950753849,-2.0171094640619502,0.04368409121414628,**,0.05417679415476895,0.039758757480299,1000
Model 2: Asymmetry (With Beat Dummy),CAR_0_1,Sector_Information Technology,-0.013897011363558621,0.00800311777846658,-1.736449687264421,0.08248435319053274,*,0.05417679415476895,0.039758757480299,1000
Model 2: Asymmetry (With Beat Dummy),CAR_0_1,Sector_Materials,-0.018449179042188606,0.006996019022329228,-2.637096752210689,0.008361897799969896,***,0.05417679415476895,0.039758757480299,1000
Model 2: Asymmetry (With Beat Dummy),CAR_0_1,Sector_Real Estate,0.011715066322587326,0.007012889557646054,1.6705048933523494,0.09481951208694529,*,0.05417679415476895,0.039758757480299,1000
Model 2: Asymmetry (With Beat Dummy),CAR_0_1,Sector_Utilities,9.743312249085347e-05,0.007170513713283612,0.01358802540330624,0.9891586579341081,,0.05417679415476895,0.039758757480299,1000
