Model,Dep_Var,Variable,Coefficient,Std_Error,t_stat,p_value,Significance,R_Squared,Adj_R_Squared,Observations
Model 4: Diagnostic (Old Surprise),CAR_0_1,Sector_Financials,-0.016119943220033624,0.005346716546450929,-3.0149238471850173,0.0025704378522570424,***,0.030126854821907467,0.017339480696841325,1000
Model 4: Diagnostic (Old Surprise),CAR_0_1,Sector_Health Care,-0.020749887897167477,0.008210791199251891,-2.5271484067282164,0.011499289909673091,**,0.030126854821907467,0.017339480696841325,1000
Model 4: Diagnostic (Old Surprise),CAR_0_1,Sector_Industrials,-0.01277529292850154,0.006529474880005717,-1.956557481769553,0.05039951804454447,*,0.030126854821907467,0.017339480696841325,1000
Model 4: Diagnostic (Old Surprise),CAR_0_1,Sector_Information Technology,-0.013554313279114043,0.007327655104367493,-1.849747714113248,0.06434991997918803,*,0.030126854821907467,0.017339480696841325,1000
Model 4: Diagnostic (Old Surprise),CAR_0_1,Sector_Materials,-0.02104852147476529,0.006753298011001749,-3.11677663868458,0.0018284004485176314,***,0.030126854821907467,0.017339480696841325,1000
Model 4: Diagnostic (Old Surprise),CAR_0_1,Sector_Real Estate,0.006853773391445035,0.007193859650918489,0.9527254803434992,0.34072917970462535,,0.030126854821907467,0.017339480696841325,1000
Model 4: Diagnostic (Old Surprise),CAR_0_1,Sector_Utilities,-0.0013750466194482822,0.006003421756964337,-0.22904381453012923,0.8188348620870073,,0.030126854821907467,0.017339480696841325,1000
Model 5: Interaction,CAR_0_1,const,0.020454431842807607,0.004642620045052165,4.4057949270707075,1.053966410338055e-05,***,0.027666036220866275,0.013846061101162821,1000
Model 5: Interaction,CAR_0_1,Z_Guidance_Surprise,0.01274532914959268,0.004640969090117321,2.746264605970579,0.006027812517930925,***,0.027666036220866275,0.013846061101162821,1000
Model 5: Interaction,CAR_0_1,Std_Disagreement_Gap_Win,2.1024487301132995,0.5279643048812586,3.9821796865342045,6.828612115720168e-05,***,0.027666036220866275,0.013846061101162821,1000
Model 5: Interaction,CAR_0_1,Z_Interaction,0.0034249546180928486,0.10821978767603731,0.031648136552860966,0.9747526551791929,,0.027666036220866275,0.013846061101162821,1000
Model 5: Interaction,CAR_0_1,Std_Log_Market_Cap,0.00047632795559126467,0.0019185114654886937,0.24827996296072788,0.8039178009767187,,0.027666036220866275,0.013846061101162821,1000
Model 5: Interaction,CAR_0_1,Sector_Consumer Discretionary,-0.024497497751944177,0.006937332468850106,-3.5312561221395153,0.0004135910588796432,***,0.027666036220866275,0.013846061101162821,1000
Model 5: Interaction,CAR_0_1,Sector_Consumer Staples,-0.015440850392549773,0.006941655778063448,-2.2243756945345674,0.026123177746707398,**,0.027666036220866275,0.013846061101162821,1000
Model 5: Interaction,CAR_0_1,Sector_Energy,-0.017160587582506874,0.005483143842447027,-3.1296985954773744,0.0017498574545090544,***,0.027666036220866275,0.013846061101162821,1000
Model 5: Interaction,CAR_0_1,Sector_Financials,-0.01618379791550013,0.005264580288293976,-3.074090816220528,0.002111451467325423,***,0.027666036220866275,0.013846061101162821,1000
Model 5: Interaction,CAR_0_1,Sector_Health Care,-0.021175198678345462,0.00834268848774439,-2.5381744397447346,0.011143242631801591,**,0.027666036220866275,0.013846061101162821,1000
Model 5: Interaction,CAR_0_1,Sector_Industrials,-0.013325360805869766,0.006421872716483634,-2.074996094467318,0.03798689673725187,**,0.027666036220866275,0.013846061101162821,1000
Model 5: Interaction,CAR_0_1,Sector_Information Technology,-0.014181223427737288,0.007438089305385303,-1.9065680506779934,0.0565765456530201,*,0.027666036220866275,0.013846061101162821,1000
Model 5: Interaction,CAR_0_1,Sector_Materials,-0.02120729072523402,0.0064435028930037224,-3.291267355254956,0.0009973707465379174,***,0.027666036220866275,0.013846061101162821,1000
Model 5: Interaction,CAR_0_1,Sector_Real Estate,0.005875352694067521,0.007521567876583272,0.7811340388696251,0.4347236637624321,,0.027666036220866275,0.013846061101162821,1000
Model 5: Interaction,CAR_0_1,Sector_Utilities,-0.00213917497632341,0.005895703084850892,-0.3628362801749728,0.7167271884132851,,0.027666036220866275,0.013846061101162821,1000
